Full Date,Weighted Drought Score,Dow_Date,Dow_Open,Dow_High,Dow_Low,Dow_Close,Dow_Avg Vol,Dow_Adj Close*,Unemployment,pew-congress-poll-date,pew-congress-approve,pew-congress-disapprove
9/1/10,75.424,1-Sep-10,"10,016.01","10,948.88","10,016.01","10,788.05","189,500,400","10,788.05",9.5,,,
10/1/10,76.2975,1-Oct-10,"10,789.72","11,247.60","10,711.12","11,118.49","189,376,100","11,118.49",9.4,,,
11/1/10,76.9192,1-Nov-10,"11,120.30","11,451.53","10,929.28","11,006.02","192,471,400","11,006.02",9.8,,,
12/1/10,77.429,1-Dec-10,"11,007.23","11,625.00","11,007.23","11,577.51","152,101,300","11,577.51",9.3,,,
1/1/11,79.9215,3-Jan-11,"11,577.43","12,020.52","11,573.87","11,891.93","194,415,000","11,891.93",9.2,,,
2/1/11,77.728,1-Feb-11,"11,892.50","12,391.29","11,892.50","12,226.34","180,002,100","12,226.34",9,,,
3/1/11,79.406,1-Mar-11,"12,226.49","12,383.46","11,555.48","12,319.73","175,563,900","12,319.73",9,3/1/11,34,57
4/1/11,79.998,1-Apr-11,"12,321.02","12,832.83","12,093.89","12,810.54","184,985,500","12,810.54",9.1,,,
5/1/11,79.998,2-May-11,"12,810.16","12,876.00","12,309.52","12,569.79","180,300,400","12,569.79",9,,,
6/1/11,79.384,1-Jun-11,"12,569.41","12,569.49","11,862.53","12,414.34","184,383,600","12,414.34",9.1,,,
7/1/11,77.313,1-Jul-11,"12,414.34","12,753.89","12,083.45","12,143.24","166,169,500","12,143.24",9,,,
8/1/11,77.8824,1-Aug-11,"12,144.22","12,282.42","10,604.07","11,613.53","279,694,300","11,613.53",9,8/21/11,25,70
9/1/11,77.6595,1-Sep-11,"11,613.30","11,716.84","10,597.14","10,913.38","219,510,400","10,913.38",9,,,
10/1/11,77.85,3-Oct-11,"10,912.10","12,284.31","10,404.49","11,955.01","194,929,500","11,955.01",8.8,,,
11/1/11,77.7156,1-Nov-11,"11,951.53","12,187.51","11,231.43","12,045.68","169,042,800","12,045.68",8.6,,,
12/1/11,72.8475,1-Dec-11,"12,046.21","12,328.47","11,735.19","12,217.56","150,864,200","12,217.56",8.5,,,
1/1/12,54.1696,3-Jan-12,"12,221.19","12,841.95","12,221.19","12,632.91","157,457,500","12,632.91",8.3,1/16/12,23,69
2/1/12,47.5415,1-Feb-12,"12,632.76","13,055.75","12,632.76","12,952.07","144,731,500","12,952.07",8.3,,,
3/1/12,35.8085,1-Mar-12,"12,952.29","13,289.08","12,734.86","13,212.04","153,390,000","13,212.04",8.2,,,
4/1/12,40.585,2-Apr-12,"13,211.36","13,297.11","12,710.56","13,213.63","135,138,500","13,213.63",8.2,,,
5/1/12,46.988,1-May-12,"13,214.16","13,338.66","12,311.56","12,393.45","147,960,900","12,393.45",8.2,,,
6/1/12,46.8085,1-Jun-12,"12,391.56","12,898.94","12,035.09","12,880.09","148,347,600","12,880.09",8.2,,,
7/1/12,45.7956,2-Jul-12,"12,879.71","13,128.64","12,492.25","13,008.68","128,766,100","13,008.68",8.2,7/9/12,27,65
8/1/12,44.339,1-Aug-12,"13,007.47","13,330.76","12,778.90","13,090.84","103,785,200","13,090.84",8,,,
9/1/12,44.0475,4-Sep-12,"13,092.15","13,653.24","12,977.09","13,437.13","149,906,300","13,437.13",7.8,,,
10/1/12,43.7272,1-Oct-12,"13,437.66","13,661.87","13,017.37","13,096.46","124,321,900","13,096.46",7.8,,,
11/1/12,43.291,1-Nov-12,"13,099.19","13,290.75","12,471.49","13,025.58","135,952,300","13,025.58",7.7,,,
12/1/12,49.091,3-Dec-12,"13,027.73","13,365.86","12,883.89","13,104.14","140,624,500","13,104.14",7.9,12/9/12,27,67
1/1/13,51.7376,2-Jan-13,"13,104.30","13,969.99","13,104.30","13,860.58","139,489,500","13,860.58",8,1/13/13,23,68
2/1/13,49.9765,1-Feb-13,"13,860.58","14,149.15","13,784.01","14,054.49","140,248,900","14,054.49",7.7,,,
3/1/13,46.928,1-Mar-13,"14,054.49","14,585.10","13,937.60","14,578.54","135,001,500","14,578.54",7.5,,,
4/1/13,44.0876,1-Apr-13,"14,578.54","14,887.51","14,434.43","14,839.80","139,476,300","14,839.80",7.6,,,
5/1/13,31.118,1-May-13,"14,839.80","15,542.40","14,687.05","15,115.57","135,470,000","15,115.57",7.5,,,
6/1/13,27.02,3-Jun-13,"15,123.55","15,340.09","14,551.27","14,909.60","157,952,000","14,909.60",7.5,,,
7/1/13,21.6668,1-Jul-13,"14,911.60","15,634.32","14,858.93","15,499.54","125,829,500","15,499.54",7.3,7/21/13,21,70
8/1/13,21.582,1-Aug-13,"15,503.85","15,658.43","14,760.41","14,810.31","111,977,700","14,810.31",7.2,,,
9/1/13,22.668,3-Sep-13,"14,801.55","15,709.58","14,777.48","15,129.67","124,693,500","15,129.67",7.2,,,
10/1/13,24.5016,1-Oct-13,"15,132.49","15,721.00","14,719.43","15,545.75","100,898,600","15,545.75",7.2,10/13/13,23,73
11/1/13,24.6715,1-Nov-13,"15,558.01","16,174.51","15,522.18","16,086.41","94,472,500","16,086.41",7,,,
12/1/13,24.8824,2-Dec-13,"16,087.12","16,588.25","15,703.79","16,576.66","101,710,400","16,576.66",6.7,12/8/13,27,67
1/1/14,23.1425,2-Jan-14,"16,572.17","16,573.07","15,617.55","15,698.85","110,196,600","15,698.85",6.6,,,
